Rank,Name,Country,Sales,Profit,Assets,Market_Value,Link
23,Walmart,United States,$572.75 B,$13.67 B,$244.86 B,$431.64 B,https://www.forbes.com/companies/walmart/?list=global2000
24,China Merchants Bank,China,$71.07 B,$18.58 B,"$1,451.2 B",$167.32 B,https://www.forbes.com/companies/china-merchants-bank/?list=global2000
25,Volkswagen Group,Germany,$295.73 B,$17.54 B,$638.26 B,$82.4 B,https://www.forbes.com/companies/volkswagen-group/?list=global2000
26,Chevron,United States,$156.29 B,$15.63 B,$239.53 B,$316.23 B,https://www.forbes.com/companies/chevron/?list=global2000
27,Citigroup,United States,$79.94 B,$18.23 B,"$2,394.11 B",$101.48 B,https://www.forbes.com/companies/citigroup/?list=global2000
28,Tencent Holdings,China,$86.86 B,$34.94 B,$252.99 B,$414.28 B,https://www.forbes.com/companies/tencent-holdings/?list=global2000
29,Total,France,$185.12 B,$16.14 B,$293.46 B,$127.32 B,https://www.forbes.com/companies/total/?list=global2000
30,Postal Savings Bank Of China (PSBC),China,$77.61 B,$11.33 B,"$1,975.08 B",$125.53 B,https://www.forbes.com/companies/postal-savings-bank-of-china/?list=global2000
31,China Mobile,Hong Kong,$131.49 B,$17.97 B,$283.37 B,$147.05 B,https://www.forbes.com/companies/china-mobile/?list=global2000
32,Comcast,United States,$116.39 B,$14.16 B,$275.9 B,$205.72 B,https://www.forbes.com/companies/comcast/?list=global2000
33,Alibaba Group,China,$129.76 B,$10.17 B,$276.25 B,$237.78 B,https://www.forbes.com/companies/alibaba-group/?list=global2000
34,Meta Platforms,United States,$117.93 B,$39.37 B,$165.99 B,$499.86 B,https://www.forbes.com/companies/meta-platforms/?list=global2000
35,Allianz,Germany,$138.62 B,$7.81 B,"$1,324.62 B",$96.42 B,https://www.forbes.com/companies/allianz/?list=global2000
36,Morgan Stanley,United States,$60.22 B,$14.58 B,"$1,222.23 B",$150.95 B,https://www.forbes.com/companies/morgan-stanley/?list=global2000
37,Goldman Sachs Group,United States,$62.81 B,$18.74 B,"$1,589 B",$109.32 B,https://www.forbes.com/companies/goldman-sachs-group/?list=global2000
38,HSBC Holdings,United Kingdom,$59.33 B,$12.58 B,"$2,957.94 B",$135.3 B,https://www.forbes.com/companies/hsbc-holdings/?list=global2000
39,BNP Paribas,France,$127.42 B,$9.85 B,"$2,995.89 B",$68.76 B,https://www.forbes.com/companies/bnp-paribas/?list=global2000
40,Johnson & Johnson,United States,$94.88 B,$19.83 B,$182.02 B,$477.38 B,https://www.forbes.com/companies/johnson-johnson/?list=global2000
41,Mercedes-Benz Group,Germany,$178.94 B,$27.19 B,$295.48 B,$74.62 B,https://www.forbes.com/companies/mercedes-benz-group/?list=global2000
42,CVS Health,United States,$291.98 B,$7.91 B,$240.5 B,$133.53 B,https://www.forbes.com/companies/cvs-health/?list=global2000
43,Pfizer,United States,$81.49 B,$21.98 B,$181.48 B,$271.83 B,
44,Softbank,Japan,$96.86 B,$20.87 B,$418.94 B,$71.69 B,https://www.forbes.com/companies/softbank/?list=global2000
45,Sinopec,China,$384.82 B,$11.04 B,$292.05 B,$80.81 B,https://www.forbes.com/companies/sinopec/?list=global2000
46,RBC,Canada,$45.24 B,$13 B,"$1,377.94 B",$147.92 B,https://www.forbes.com/companies/rbc/?list=global2000
47,Nestlé,Switzerland,$95.25 B,$18.49 B,$152.71 B,$360.01 B,https://www.forbes.com/companies/nestle/?list=global2000
48,AXA Group,France,$145.19 B,$8.39 B,$839.85 B,$65.75 B,https://www.forbes.com/companies/axa-group/?list=global2000
49,Gazprom,Russia,$117.3 B,$25.44 B,$360.47 B,$63.56 B,https://www.forbes.com/companies/gazprom/?list=global2000
50,BP,United Kingdom,$158.01 B,$7.55 B,$287.27 B,$98.38 B,https://www.forbes.com/companies/bp/?list=global2000
51,Intel,United States,$79.02 B,$19.87 B,$168.41 B,$190.29 B,https://www.forbes.com/companies/intel/?list=global2000
52,TD Bank Group,Canada,$38.51 B,$11.78 B,"$1,398.48 B",$132.99 B,https://www.forbes.com/companies/td-bank-group/?list=global2000
53,Nippon Telegraph & Tel,Japan,$110.39 B,$10.15 B,$204.46 B,$103.98 B,https://www.forbes.com/companies/nippon-tel-tel/?list=global2000
54,Reliance Industries,India,$86.85 B,$7.81 B,$192.59 B,$228.63 B,https://www.forbes.com/companies/reliance-industries/?list=global2000
55,Industrial Bank,China,$60.53 B,$12.82 B,"$1,350.32 B",$68.59 B,https://www.forbes.com/companies/industrial-bank/?list=global2000
56,Sony,Japan,$89.9 B,$7.99 B,$260.48 B,$108.84 B,https://www.forbes.com/companies/sony/?list=global2000
57,Santander,Spain,$78.22 B,$9.6 B,"$1,814.78 B",$58.21 B,https://www.forbes.com/companies/santander/?list=global2000
58,Mitsubishi UFJ Financial,Japan,$48.28 B,$11.29 B,"$3,176.37 B",$75.75 B,https://www.forbes.com/companies/mitsubishi-ufj-financial/?list=global2000
58,Taiwan Semiconductor,Taiwan,$61.47 B,$23.63 B,$139.35 B,$494.6 B,https://www.forbes.com/companies/taiwan-semiconductor/?list=global2000
60,Ford Motor,Canada,$136.34 B,$17.94 B,$257.04 B,$60.8 B,https://www.forbes.com/companies/ford-motor/?list=global2000
61,LVMH Moët Hennessy Louis Vuitton,France,$75.9 B,$14.23 B,$142.5 B,$346.8 B,https://www.forbes.com/companies/lvmh-moet-hennessy-louis-vuitton/?list=global2000
62,Bank of Communications,China,$76 B,$12.98 B,"$1,830.4 B",$52.82 B,https://www.forbes.com/companies/bank-of-communications/?list=global2000
63,Procter & Gamble,United States,$79.62 B,$14.6 B,$120.22 B,$386.53 B,https://www.forbes.com/companies/procter-gamble/?list=global2000
64,BMW Group,Germany,$131.48 B,$14.64 B,$277.28 B,$55.98 B,https://www.forbes.com/companies/bmw-group/?list=global2000
65,Petrobras,Brazil,$83.89 B,$19.77 B,$174.68 B,$83.98 B,https://www.forbes.com/companies/petrobras/?list=global2000
66,Deutsche Telekom,Germany,$128.59 B,$4.93 B,$340.56 B,$91.72 B,https://www.forbes.com/companies/deutsche-telekom/?list=global2000
67,AbbVie,United States,$56.2 B,$11.46 B,$146.53 B,$273.76 B,https://www.forbes.com/companies/abbvie/?list=global2000
68,Novartis,Switzerland,$51.63 B,$24.14 B,$135.88 B,$200.73 B,https://www.forbes.com/companies/novartis/?list=global2000
69,General Motors,United States,$127 B,$10.02 B,$244.72 B,$57.89 B,https://www.forbes.com/companies/general-motors/?list=global2000
70,Equinor,Norway,$88.37 B,$8.57 B,$147.12 B,$117.87 B,https://www.forbes.com/companies/equinor/?list=global2000
71,China Life Insurance,China,$130.5 B,$7.87 B,$769.88 B,$43.02 B,https://www.forbes.com/companies/china-life-insurance/?list=global2000
72,Roche Holding,Switzerland,$68.69 B,$15.24 B,$101.32 B,$308.14 B,https://www.forbes.com/companies/roche-holding/?list=global2000
73,AIA Group,Hong Kong,$45.16 B,$7.43 B,$334.88 B,$120.19 B,https://www.forbes.com/companies/aia-group/?list=global2000
74,MetLife,United States,$71.08 B,$6.55 B,$759.71 B,$57.39 B,https://www.forbes.com/companies/metlife/?list=global2000
75,BHP Group,Australia,$65.55 B,$16.92 B,$105.72 B,$178.07 B,https://www.forbes.com/companies/bhp-group-ltd/?list=global2000
76,The Home Depot,Canada,$151.16 B,$16.43 B,$71.88 B,$310.13 B,
77,American Express,United States,$46.29 B,$7.86 B,$196 B,$136.72 B,https://www.forbes.com/companies/american-express/?list=global2000
77,Siemens,Germany,$76.46 B,$6.55 B,$164.22 B,$102.23 B,
79,Stellantis,Netherlands,$176.61 B,$16.78 B,$195.33 B,$44.26 B,https://www.forbes.com/companies/stellantis/?list=global2000
79,Zurich Insurance Group,Switzerland,$69.58 B,$5.21 B,$410.15 B,$69.22 B,https://www.forbes.com/companies/zurich-insurance-group/?list=global2000
81,Rosneft,Russia,$111.4 B,$11.98 B,$219.41 B,$48.79 B,https://www.forbes.com/companies/rosneft/?list=global2000
82,Rio Tinto,United Kingdom,$63.46 B,$21.06 B,$102.9 B,$117.78 B,https://www.forbes.com/companies/rio-tinto/?list=global2000
83,Brookfield Asset Management,Canada,$78.82 B,$3.97 B,$391 B,$80.94 B,https://www.forbes.com/companies/brookfield-asset-management/?list=global2000
84,Cigna,United States,$174.27 B,$5.37 B,$151.02 B,$81.2 B,https://www.forbes.com/companies/cigna/?list=global2000
85,Prudential Financial,United States,$70.93 B,$7.61 B,$937.58 B,$43.6 B,https://www.forbes.com/companies/prudential-financial/?list=global2000
86,PepsiCo,United States,$79.47 B,$7.62 B,$92.38 B,$238.13 B,https://www.forbes.com/companies/pepsico/?list=global2000
87,Merck & Co.,United States,$50.37 B,$13.05 B,$105.69 B,$213.83 B,https://www.forbes.com/companies/merck-co/?list=global2000
88,Elevance Health,United States,$144.35 B,$6.24 B,$100.49 B,$121.25 B,https://www.forbes.com/companies/elevance-health/?list=global2000
89,Bank of Nova Scotia,Canada,$30.35 B,$7.96 B,$979.3 B,$80.58 B,https://www.forbes.com/companies/bank-of-nova-scotia/?list=global2000
90,American International Group,United States,$52.06 B,$9.39 B,$521.83 B,$48.73 B,https://www.forbes.com/companies/american-international-group/?list=global2000
91,Glencore International,Switzerland,$203.41 B,$5 B,$127.51 B,$79.9 B,https://www.forbes.com/companies/glencore-international/?list=global2000
92,Cisco Systems,United States,$51.55 B,$11.82 B,$94.26 B,$213.36 B,https://www.forbes.com/companies/cisco-systems/?list=global2000
93,Anheuser-Busch InBev,Belgium,$54.33 B,$4.66 B,$219.37 B,$118.52 B,https://www.forbes.com/companies/anheuser-busch-inbev/?list=global2000
94,Walt Disney,United States,$72.98 B,$3.08 B,$203.31 B,$215.33 B,https://www.forbes.com/companies/walt-disney/?list=global2000
95,Chubb,Switzerland,$40.95 B,$8.54 B,$181.75 B,$87.31 B,https://www.forbes.com/companies/chubb/?list=global2000
95,CITIC,Hong Kong,$91.21 B,$9.03 B,"$1,370.59 B",$31.96 B,https://www.forbes.com/companies/citic/?list=global2000
95,Lloyds Banking Group,United Kingdom,$58.48 B,$7.36 B,"$1,200.75 B",$41.34 B,https://www.forbes.com/companies/lloyds-banking-group/?list=global2000
98,IBM,United States,$67.25 B,$5.52 B,$133.28 B,$124.33 B,https://www.forbes.com/companies/ibm/?list=global2000
99,Sanofi,France,$44.63 B,$7.36 B,$136.74 B,$136.86 B,https://www.forbes.com/companies/sanofi/?list=global2000
100,United Parcel Service,United States,$97.2 B,$12.89 B,$69.41 B,$163.03 B,https://www.forbes.com/companies/united-parcel-service/?list=global2000
101,British American Tobacco,United Kingdom,$35.32 B,$9.34 B,$186.05 B,$97.49 B,https://www.forbes.com/companies/british-american-tobacco/?list=global2000
101,UBS,Switzerland,$35.22 B,$7.45 B,"$1,117.18 B",$56.17 B,https://www.forbes.com/companies/ubs/?list=global2000
103,Honda Motor,Japan,$130.16 B,$7.24 B,$193.22 B,$44.99 B,https://www.forbes.com/companies/honda-motor/?list=global2000
104,Mitsubishi,Japan,$146.94 B,$5.9 B,$178.13 B,$50.87 B,https://www.forbes.com/companies/mitsubishi/?list=global2000
105,China State Construction Engineering,China,$205.79 B,$5.87 B,$374.72 B,$36.91 B,https://www.forbes.com/companies/china-state-construction-engineering/?list=global2000
105,State Bank of India,India,$54.42 B,$4.32 B,$696.51 B,$58.39 B,https://www.forbes.com/companies/state-bank-of-india/?list=global2000
107,Commonwealth Bank,Australia,$21.85 B,$8.39 B,$835.97 B,$130.34 B,https://www.forbes.com/companies/commonwealth-bank/?list=global2000
108,Shanghai Pudong Development,China,$54.77 B,$8.47 B,"$1,247.94 B",$36.6 B,https://www.forbes.com/companies/shanghai-pudong-development/?list=global2000
109,Raytheon Technologies,United States,$64.36 B,$3.86 B,$161.4 B,$149.76 B,https://www.forbes.com/companies/raytheon-technologies/?list=global2000
110,Enel,Italy,$99.41 B,$3.77 B,$235.33 B,$65.84 B,https://www.forbes.com/companies/enel/?list=global2000
111,Eni,Italy,$90.5 B,$7.24 B,$156.99 B,$52.28 B,https://www.forbes.com/companies/eni/?list=global2000
112,Capital One,United States,$32.12 B,$12.29 B,$432.38 B,$54.88 B,https://www.forbes.com/companies/capital-one/?list=global2000
113,Bristol Myers Squibb,United States,$46.38 B,$6.99 B,$109.31 B,$160.98 B,https://www.forbes.com/companies/bristol-myers-squibb/?list=global2000
114,Coca-Cola,United States,$38.73 B,$9.77 B,$94.35 B,$282.86 B,https://www.forbes.com/companies/coca-cola/?list=global2000
115,Oracle,United States,$41.83 B,$7.56 B,$108.64 B,$203.34 B,https://www.forbes.com/companies/oracle/?list=global2000
116,Sberbank,Russia,$57.37 B,$16.97 B,$548.83 B,$33.98 B,https://www.forbes.com/companies/sberbank/?list=global2000
117,Bank of Montreal,Canada,$26.53 B,$6.92 B,$804.51 B,$72.74 B,https://www.forbes.com/companies/bank-of-montreal/?list=global2000
118,Vale,Brazil,$54.4 B,$22.47 B,$89.61 B,$82.03 B,https://www.forbes.com/companies/vale/?list=global2000
119,EDF,France,$99.83 B,$6.04 B,$410.49 B,$35.09 B,https://www.forbes.com/companies/edf/?list=global2000
120,Thermo Fisher Scientific,United States,$39.21 B,$7.72 B,$95.12 B,$219.71 B,https://www.forbes.com/companies/thermo-fisher-scientific/?list=global2000
121,Credit Agricole,France,$73.61 B,$6.49 B,"$2,358.5 B",$31.42 B,https://www.forbes.com/companies/credit-agricole/?list=global2000
122,AIRBUS,Netherlands,$61.64 B,$4.98 B,$129.16 B,$88.6 B,https://www.forbes.com/companies/airbus/?list=global2000
123,Costco Wholesale,United States,$210.22 B,$5.51 B,$63.08 B,$253.39 B,https://www.forbes.com/companies/costco-wholesale/?list=global2000
124,Hon Hai Precision,Taiwan,$214.6 B,$4.99 B,$141.28 B,$49.04 B,https://www.forbes.com/companies/hon-hai-precision/?list=global2000
125,Unilever,United Kingdom,$62 B,$7.15 B,$85.4 B,$116.16 B,https://www.forbes.com/companies/unilever/?list=global2000
126,Charter Communications,United States,$51.68 B,$4.65 B,$143.39 B,$97.92 B,https://www.forbes.com/companies/charter-communications/?list=global2000
127,Sumitomo Mitsui Financial,Japan,$35.5 B,$6.4 B,"$2,176.62 B",$42.33 B,https://www.forbes.com/companies/sumitomo-mitsui-financial/?list=global2000
128,ConocoPhillips,United States,$46.06 B,$8.08 B,$90.66 B,$124.43 B,https://www.forbes.com/companies/conocophillips/?list=global2000
129,GlaxoSmithKline,United Kingdom,$46.92 B,$6.03 B,$107.14 B,$112.09 B,https://www.forbes.com/companies/glaxosmithkline/?list=global2000
130,Intesa Sanpaolo,Italy,$47.84 B,$4.95 B,"$1,215.67 B",$41.42 B,https://www.forbes.com/companies/intesa-sanpaolo/?list=global2000
131,Manulife,Canada,$47.17 B,$5.67 B,$691.18 B,$39.76 B,https://www.forbes.com/companies/manulife/?list=global2000
132,US Bancorp,United States,$23.12 B,$7.21 B,$586.52 B,$75.48 B,https://www.forbes.com/companies/us-bancorp/?list=global2000
133,BASF,Germany,$92.9 B,$6.53 B,$102.41 B,$51.78 B,https://www.forbes.com/companies/basf/?list=global2000
134,CNOOC,Hong Kong,$37.77 B,$10.91 B,$123.42 B,$62.6 B,https://www.forbes.com/companies/cnooc/?list=global2000
135,Abbott Laboratories,United States,$44.51 B,$7.7 B,$75.2 B,$210.98 B,https://www.forbes.com/companies/abbott-laboratories/?list=global2000
136,Iberdrola,Spain,$46.23 B,$4.63 B,$161.2 B,$70.26 B,https://www.forbes.com/companies/iberdrola/?list=global2000
137,China Shenhua Energy,China,$52.02 B,$8 B,$95.81 B,$62.81 B,https://www.forbes.com/companies/china-shenhua-energy/?list=global2000
138,Itaú Unibanco Holding,Brazil,$35.96 B,$4.96 B,$372.3 B,$52.89 B,https://www.forbes.com/companies/itau-unibanco-holding/?list=global2000
139,Caterpillar,United States,$50.98 B,$6.49 B,$82.79 B,$115.91 B,https://www.forbes.com/companies/caterpillar/?list=global2000
140,Mitsui,Japan,$108.31 B,$7.01 B,$119.73 B,$40.83 B,https://www.forbes.com/companies/mitsui/?list=global2000
141,Itochu,Japan,$107.99 B,$6.52 B,$102.18 B,$45.95 B,https://www.forbes.com/companies/itochu/?list=global2000
142,Charles Schwab,United States,$18.98 B,$5.77 B,$681 B,$127.6 B,https://www.forbes.com/companies/charles-schwab/?list=global2000
143,Truist Financial,United States,$23.19 B,$6.44 B,$544.34 B,$67.64 B,https://www.forbes.com/companies/truist-financial/?list=global2000
144,Enbridge,Canada,$37.55 B,$4.94 B,$133.69 B,$90.92 B,https://www.forbes.com/companies/enbridge/?list=global2000
145,Hitachi,Japan,$91.9 B,$5.87 B,$116.57 B,$45.78 B,https://www.forbes.com/companies/hitachi/?list=global2000
146,KDDI,Japan,$49.17 B,$5.98 B,$94.14 B,$74.12 B,https://www.forbes.com/companies/kddi/?list=global2000
147,Hyundai Motor,South Korea,$102.7 B,$4.32 B,$196.8 B,$37.61 B,https://www.forbes.com/companies/hyundai-motor/?list=global2000
148,China Citic Bank,China,$56.99 B,$8.63 B,"$1,261.96 B",$25.26 B,https://www.forbes.com/companies/china-citic-bank/?list=global2000
148,Visa,United States,$25.48 B,$12.84 B,$81.93 B,$436.49 B,https://www.forbes.com/companies/visa/?list=global2000
150,Target,United States,$106 B,$6.95 B,$53.81 B,$111.76 B,https://www.forbes.com/companies/target/?list=global2000
151,BBVA-Banco Bilbao Vizcaya,Spain,$41.98 B,$5.04 B,$753.83 B,$35.28 B,https://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/?list=global2000
151,tesla,United States,$53.82 B,$5.52 B,$62.13 B,"1,038.73 B",https://www.forbes.com/companies/tesla/?list=global2000
153,Deere & Company,United States,$44.45 B,$5.64 B,$79.61 B,$123.81 B,https://www.forbes.com/companies/john-deere/?list=global2000
154,HDFC Bank,India,$22.51 B,$5.11 B,$280.16 B,$98.28 B,https://www.forbes.com/companies/hdfc-bank/?list=global2000
155,Barclays,United Kingdom,$30.17 B,$8.77 B,"$1,874.94 B",$31.55 B,https://www.forbes.com/companies/barclays/?list=global2000
156,Munich Re,Germany,$84.88 B,$3.47 B,$358.97 B,$35.48 B,https://www.forbes.com/companies/munich-re/?list=global2000
157,Japan Post Holdings,Japan,$103.58 B,$3.93 B,"$2,614.33 B",$26.56 B,https://www.forbes.com/companies/japan-post-holdings/?list=global2000
158,Walgreens,United States,$135.95 B,$6.29 B,$92.68 B,$39.34 B,https://www.forbes.com/companies/walgreens/?list=global2000
159,Danaher,United States,$30.28 B,$6.46 B,$83.39 B,$189.4 B,https://www.forbes.com/companies/danaher/?list=global2000
160,Generali Group,Italy,$102.13 B,$3.37 B,$664.52 B,$31.36 B,https://www.forbes.com/companies/generali-group/?list=global2000
161,Møller-Maersk,Denmark,$61.95 B,$18.04 B,$72.27 B,$51.41 B,https://www.forbes.com/companies/moller-maersk/?list=global2000
162,Lowe's,United States,$96.25 B,$8.41 B,$46.33 B,$130.37 B,https://www.forbes.com/companies/lowes/?list=global2000
163,FedEx,United States,$91.55 B,$5.13 B,$84.11 B,$53.19 B,https://www.forbes.com/companies/fedex/?list=global2000
164,Deutsche Post,Germany,$96.62 B,$5.97 B,$75.14 B,$55.04 B,https://www.forbes.com/companies/deutsche-post/?list=global2000
165,PNC Financial Services,United States,$19.93 B,$5.25 B,$541.25 B,$71.9 B,https://www.forbes.com/companies/pnc-financial-services/?list=global2000
166,Broadcom,United States,$28.5 B,$7.83 B,$73.22 B,$239.64 B,https://www.forbes.com/companies/broadcom/?list=global2000
167,LukOil,Russia,$125.11 B,$10.49 B,$92.49 B,$32.17 B,https://www.forbes.com/companies/lukoil/?list=global2000
167,Medtronic,Ireland,$31.79 B,$4.91 B,$91.8 B,$144.62 B,https://www.forbes.com/companies/medtronic/?list=global2000
169,SAP,Germany,$33.18 B,$5.64 B,$80.93 B,$124.02 B,https://www.forbes.com/companies/sap/?list=global2000
170,SK Hynix,South Korea,$37.55 B,$8.39 B,$81.08 B,$61.31 B,https://www.forbes.com/companies/sk-hynix/?list=global2000
171,ENGIE,France,$68.4 B,$4.33 B,$256.25 B,$31.5 B,https://www.forbes.com/companies/engie/?list=global2000
172,Lockheed Martin,United States,$65.75 B,$6.21 B,$51.51 B,$118.82 B,https://www.forbes.com/companies/lockheed-martin/?list=global2000
173,BlackRock,United States,$20.3 B,$6.14 B,$152.65 B,$100.8 B,https://www.forbes.com/companies/blackrock/?list=global2000
174,Westpac Banking Group,Australia,$20.46 B,$4.1 B,$677.03 B,$61.42 B,https://www.forbes.com/companies/westpac-banking/?list=global2000
175,Duke Energy,United States,$25.1 B,$3.91 B,$174.18 B,$87.98 B,https://www.forbes.com/companies/duke-energy/?list=global2000
176,Dell Technologies,United States,$106.84 B,$5.56 B,$92.73 B,$35.64 B,https://www.forbes.com/companies/dell-technologies/?list=global2000
177,VINCI,France,$59.08 B,$3.07 B,$113.75 B,$56.87 B,https://www.forbes.com/companies/vinci/?list=global2000
178,Tokio Marine Holdings,Japan,$50.57 B,$3.85 B,$234.91 B,$35.19 B,https://www.forbes.com/companies/tokio-marine-holdings/?list=global2000
179,América Móvil,Mexico,$48.37 B,$4.11 B,$82.45 B,$67.84 B,https://www.forbes.com/companies/america-movil/?list=global2000
180,E.ON,Germany,$91.44 B,$5.54 B,$151.17 B,$28.52 B,https://www.forbes.com/companies/eon/?list=global2000
181,Anglo American,United Kingdom,$41.52 B,$8.54 B,$65.98 B,$59.44 B,https://www.forbes.com/companies/anglo-american/?list=global2000
182,Banco Bradesco,Brazil,$28.33 B,$4.07 B,$296.89 B,$43.16 B,https://www.forbes.com/companies/banco-bradesco/?list=global2000
183,ING Group,Netherlands,$21.49 B,$5.65 B,"$1,081.81 B",$39.03 B,https://www.forbes.com/companies/ing-group/?list=global2000
184,Accenture,Ireland,$56.7 B,$6.39 B,$44.32 B,$196.86 B,https://www.forbes.com/companies/accenture/?list=global2000
185,Honeywell International,United States,$34.39 B,$5.54 B,$64.47 B,$130.67 B,https://www.forbes.com/companies/honeywell-international/?list=global2000
186,Mizuho Financial,Japan,$26.76 B,$5.42 B,"$1,957.58 B",$31.38 B,https://www.forbes.com/companies/mizuho-financial/?list=global2000
187,Linde,United Kingdom,$30.79 B,$3.83 B,$81.61 B,$157.26 B,https://www.forbes.com/companies/linde/?list=global2000
188,ArcelorMittal,Luxembourg,$76.65 B,$14.99 B,$90.51 B,$28.98 B,https://www.forbes.com/companies/arcelormittal/?list=global2000
189,Canadian Imperial Bank,Canada,$18.66 B,$5.33 B,$677.51 B,$51.21 B,https://www.forbes.com/companies/canadian-imperial-bank/?list=global2000
190,Poly Developments & Holdings Group,China,$42.94 B,$4.25 B,$219.65 B,$32.81 B,https://www.forbes.com/companies/poly-developments-holdings-group/?list=global2000
191,Micron Technology,United States,$31.17 B,$9.02 B,$63.7 B,$77.51 B,https://www.forbes.com/companies/micron-technology/?list=global2000
192,ANZ,Australia,$18.38 B,$4.63 B,$707.08 B,$56.23 B,https://www.forbes.com/companies/anz/?list=global2000
193,Fubon Financial,Taiwan,$33.23 B,$5.18 B,$378.81 B,$30.63 B,https://www.forbes.com/companies/fubon-financial/?list=global2000
194,China Telecom,China,$68.15 B,$4.02 B,$121.1 B,$35.23 B,https://www.forbes.com/companies/china-telecom/?list=global2000
195,HCA Healthcare,United States,$59.72 B,$6.81 B,$52.21 B,$63.62 B,https://www.forbes.com/companies/hca-healthcare/?list=global2000
196,Dow,United States,$58.35 B,$6.85 B,$63.34 B,$50.35 B,https://www.forbes.com/companies/dow/?list=global2000
196,Telefónica,Spain,$46.42 B,$9.4 B,$124.2 B,$29.44 B,https://www.forbes.com/companies/telefonica/?list=global2000
198,China Vanke,China,$71.42 B,$3.5 B,$304.19 B,$27.92 B,https://www.forbes.com/companies/china-vanke/?list=global2000
199,NAB - National Australia Bank,Australia,$15.76 B,$4.78 B,$669.03 B,$77.24 B,https://www.forbes.com/companies/national-australia-bank/?list=global2000
200,Cathay Financial,Taiwan,$34.46 B,$4.99 B,$418.7 B,$28.9 B,https://www.forbes.com/companies/cathay-financial/?list=global2000
201,Qualcomm,United States,$36.04 B,$9.99 B,$42.82 B,$149.68 B,https://www.forbes.com/companies/qualcomm/?list=global2000
202,L'Oréal,France,$38.16 B,$5.43 B,$48.91 B,$195.52 B,https://www.forbes.com/companies/loreal/?list=global2000
203,Allstate,Canada,$50.59 B,$5.69 B,$90.66 B,$36.45 B,https://www.forbes.com/companies/allstate/?list=global2000
204,SAIC Motor,China,$121.42 B,$3.71 B,$133.97 B,$28.87 B,https://www.forbes.com/companies/saic-motor/?list=global2000
205,ICICI Bank,India,$21.89 B,$3.01 B,$226.39 B,$67.9 B,https://www.forbes.com/companies/icici-bank/?list=global2000
